file,folder,predicted_lines,ground_truth,precision,recall
arbitrary_location_write_simple.sol,access_control,"[22, 23]",[22],0.5,1.0
FibonacciBalance.sol,access_control,[],"[26, 33]",0.0,0.0
incorrect_constructor_name1.sol,access_control,[],[15],0.0,0.0
incorrect_constructor_name2.sol,access_control,[],[13],0.0,0.0
incorrect_constructor_name3.sol,access_control,[],[12],0.0,0.0
mapping_write.sol,access_control,[],[15],0.0,0.0
multiowned_vulnerable.sol,access_control,[],[16],0.0,0.0
mycontract.sol,access_control,[],[14],0.0,0.0
parity_wallet_bug_1.sol,access_control,[],"[218, 432]",0.0,0.0
parity_wallet_bug_2.sol,access_control,[352],"[219, 226]",0.0,0.0
phishable.sol,access_control,[15],[15],1.0,1.0
proxy.sol,access_control,[],[14],0.0,0.0
rubixi.sol,access_control,"[66, 71]","[18, 19]",0.0,0.0
simple_suicide.sol,access_control,[6],"[7, 8]",0.0,0.0
unprotected0.sol,access_control,[19],[18],0.0,0.0
wallet_02_refund_nosub.sol,access_control,[29],[29],1.0,1.0
wallet_03_wrong_constructor.sol,access_control,"[11, 17, 24]","[12, 13]",0.0,0.0
wallet_04_confused_sign.sol,access_control,[22],[23],0.0,0.0
BECToken.sol,arithmetic,[165],[152],0.0,0.0
insecure_transfer.sol,arithmetic,"[11, 12]",[12],0.5,1.0
integer_overflow_1.sol,arithmetic,[8],[9],0.0,0.0
integer_overflow_add.sol,arithmetic,[12],[12],1.0,1.0
integer_overflow_benign_1.sol,arithmetic,[12],[12],1.0,1.0
integer_overflow_mapping_sym_1.sol,arithmetic,[10],[11],0.0,0.0
integer_overflow_minimal.sol,arithmetic,[12],[12],1.0,1.0
integer_overflow_mul.sol,arithmetic,[12],[12],1.0,1.0
integer_overflow_multitx_multifunc_feasible.sol,arithmetic,[20],[20],1.0,1.0
integer_overflow_multitx_onefunc_feasible.sol,arithmetic,[16],[17],0.0,0.0
overflow_simple_add.sol,arithmetic,[9],[9],1.0,1.0
overflow_single_tx.sol,arithmetic,"[12, 18, 24]","[13, 19, 25, 31, 37, 43]",0.0,0.0
timelock.sol,arithmetic,[16],[17],0.0,0.0
token.sol,arithmetic,"[14, 15, 17]","[15, 17]",0.6666666666666666,1.0
tokensalechallenge.sol,arithmetic,"[17, 19, 27]","[18, 20, 28]",0.0,0.0
blackjack.sol,bad_randomness,"[10, 12, 14]","[11, 13, 15]",0.0,0.0
etheraffle.sol,bad_randomness,"[42, 92, 94, 96, 108, 152]","[43, 93, 95, 97, 108, 152]",0.3333333333333333,0.3333333333333333
guess_the_random_number.sol,bad_randomness,[10],[10],1.0,1.0
lottery.sol,bad_randomness,"[31, 36]","[32, 36]",0.5,0.5
lucky_doubler.sol,bad_randomness,[120],"[121, 122, 123, 124, 126]",0.0,0.0
old_blockhash.sol,bad_randomness,[29],[30],0.0,0.0
random_number_generator.sol,bad_randomness,"[12, 13, 15]","[7, 13, 15, 17]",0.6666666666666666,0.5
smart_billions.sol,bad_randomness,"[398, 432, 433, 436, 438, 439, 443, 444, 447]","[365, 402, 542, 544, 546, 548, 550, 552, 554, 556, 558, 560]",0.0,0.0
auction.sol,denial_of_service,[17],[18],0.0,0.0
dos_address.sol,denial_of_service,[10],"[11, 12, 13]",0.0,0.0
dos_number.sol,denial_of_service,"[12, 15, 17, 22, 29, 31]","[13, 14, 15, 16, 17]",0.3333333333333333,0.4
dos_simple.sol,denial_of_service,[12],"[12, 13]",1.0,0.5
list_dos.sol,denial_of_service,"[40, 42]","[41, 43]",0.0,0.0
send_loop.sol,denial_of_service,[17],[18],0.0,0.0
ERC20.sol,front_running,"[85, 100]","[85, 88]",0.5,0.5
eth_tx_order_dependence_minimal.sol,front_running,"[17, 25]","[18, 26]",0.0,0.0
FindThisHash.sol,front_running,[12],[12],1.0,1.0
odds_and_evens.sol,front_running,[],"[20, 23]",0.0,0.0
crypto_roulette.sol,other,[36],"[36, 37, 38]",1.0,0.3333333333333333
name_registrar.sol,other,[18],[17],0.0,0.0
open_address_lottery.sol,other,"[40, 75]",[71],0.0,0.0
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,[48],[49],0.0,0.0
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,[32],[33],0.0,0.0
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,reentrancy,[49],[50],0.0,0.0
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,reentrancy,[48],[49],0.0,0.0
0x561eac93c92360949ab1f1403323e6db345cbf31.sol,reentrancy,[48],[49],0.0,0.0
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,[88],[89],0.0,0.0
0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,[],[24],0.0,0.0
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,reentrancy,[46],[47],0.0,0.0
0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,reentrancy,[23],[24],0.0,0.0
0x8c7777c45481dba411450c228cb692ac3d550344.sol,reentrancy,[],[36],0.0,0.0
0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,reentrancy,[23],[24],0.0,0.0
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,reentrancy,[38],[39],0.0,0.0
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,reentrancy,[57],[58],0.0,0.0
0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,reentrancy,[48],[49],0.0,0.0
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,reentrancy,"[34, 35]",[35],0.5,1.0
0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,reentrancy,"[32, 33]",[33],0.5,1.0
0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,reentrancy,[],[36],0.0,0.0
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,reentrancy,[57],[58],0.0,0.0
0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,reentrancy,[23],[24],0.0,0.0
0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,reentrancy,[23],[24],0.0,0.0
etherbank.sol,reentrancy,[15],[16],0.0,0.0
etherstore.sol,reentrancy,[21],[22],0.0,0.0
modifier_reentrancy.sol,reentrancy,"[10, 37]",[10],0.5,1.0
reentrance.sol,reentrancy,[18],[19],0.0,0.0
reentrancy_bonus.sol,reentrancy,[22],[23],0.0,0.0
reentrancy_cross_function.sol,reentrancy,[18],[19],0.0,0.0
reentrancy_dao.sol,reentrancy,[12],[13],0.0,0.0
reentrancy_insecure.sol,reentrancy,[11],[12],0.0,0.0
reentrancy_simple.sol,reentrancy,[18],[19],0.0,0.0
simple_dao.sol,reentrancy,[13],[14],0.0,0.0
spank_chain_payment.sol,reentrancy,"[414, 418]","[415, 419]",0.0,0.0
short_address_example.sol,short_addresses,[],[13],0.0,0.0
ether_lotto.sol,time_manipulation,[36],[37],0.0,0.0
governmental_survey.sol,time_manipulation,[22],[22],1.0,1.0
lottopollo.sol,time_manipulation,"[7, 21]","[8, 22]",0.0,0.0
roulette.sol,time_manipulation,"[13, 16]","[13, 15]",0.5,0.5
timed_crowdsale.sol,time_manipulation,[],[8],0.0,0.0
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,unchecked_low_level_calls,"[159, 169]","[142, 154]",0.0,0.0
